Title	Genre	Style	Setting	Watched?	Exclusive?	My Rating
9	Sci-fi	Animated		yes		5
1408	Horror			yes		4
2012	Sci-fi	Disaster		yes		2
2001: A Space Odyssey 	Cerebral	Conceptual		yes		5
30 Days of Night	Horror			yes		3
6 Underground	Action	Heist		yes	Netflix	3
A Cure for Wellness	Horror			yes		3
A Hitchhiker's Guide to the Galaxy	Comedy			yes		5
A Monster Calls	Drama			yes		3
A Nightmare on Elm Street	Horror			yes		3
A Quiet Place	Thriller			yes		4
Aaah! Zombies!!	Comedy			yes		4
Abraham Lincoln: Vampire Slayer	Action			yes		4
Alien	Horror			yes		5
Alien 3	Horror			yes		4
Alien vs. Predator	Horror			yes		3
Alien: Covenant	Horror			yes		4
Alien: Resurrection	Horror			yes		4
Aliens	Horror			yes		3
Always Watching: A Marble Hornets Story	Horror	Found Footage		yes		4
American Psycho	Horror			yes		4
American Ultra	Comedy			yes		4
Annihilation	Horror			yes		4
Apollo 18	Horror	Found Footage		yes		4
Army of the Dead	Action	Heist		yes	Netflix	2
As Above, So Below	Horror	Found Footage		yes		3
Assimilate	Horror			yes		3
Attack of the Killer Tomatoes	Comedy	Parody		yes		2
Behind the Mask: The Rise of Leslie Vernon	Horror	Meta		yes		4
Beyond the Gates	Horror			yes		2
Bird Box	Thriller			yes		4
Black Mirror: Bandersnatch	Horror	Interactive		yes	Netflix	5
Black Mountain Side	Horror			yes		4
Blade	Action	Comic Book		yes		4
Blade II	Action	Comic Book		yes		3
Blade: Trinity	Action	Comic Book		yes		2
Brightburn	Horror			yes		5
Cannibal Holocaust	Horror			yes		1
Carnival of Souls	Horror	Classic		yes		3
Chernobyl Diaries	Horror			yes		3
Chronicle	Sci-fi	Found Footage		yes		4
Cloverfield	Horror	Found Footage		yes		4
Coherence	Thriller	Found Footage		yes		4
Color Out of Space	Horror			yes		4
Constantine	Action	Comic Book		yes		4
Corrupted				yes		2
Cowboys & Aliens	Action			yes		3
Crimson Peak	Horror			yes		4
Dagon	Horror			yes		3
Dark Shadows	Comedy			yes		4
Dead Silence	Horror			yes		3
Dead Snow	Comedy			yes		3
Devil	Horror	Claustrophobic		yes		4
District 9	Action			yes		3
Donnie Darko	Thriller			yes		5
Don't Look Up	Comedy			yes		4
Dracula Untold	Fantasy			yes		4
Dune	Sci-fi			yes		4
Elvira: Mistress of the Dark	Comedy			yes		4
Europa Report	Thriller	Found Footage		yes		4
Event Horizon	Horror			yes		4
Ex Machina				yes		4
Final Destination	Horror			yes		5
Flatliners	Thriller			yes		4
Freaks	Sci-fi			yes		3
From Dusk Til Dawn	Horror			yes		4
Gantz:0	Horror			yes		3
Ghost Team	Comedy			yes		3
Grace: The Possession	Horror	First-Person		yes		4
Gremlins	Comedy			yes		3
H.P. Lovecraft's The Deep Ones	Horror			yes		2
Hancock	Action	Comic Book		yes		3
Hansel & Gretel: Witch Hunters	Fantasy	Comic Book		yes		4
Harbinger Down				yes		3
Hellboy	Fantasy			yes		4
Hellboy II: The Golden Army	Fantasy	Comic Book		yes		4
Horns	Fantasy			yes		4
House on Haunted Hill	Horror	Classic		yes		4
Housewife	Horror			yes		5
Hungerford		Found Footage		yes		3
I Am Legend	Thriller			yes		4
I Am Mother	Thriller			yes		3
I, Frankenstein	Fantasy	Comic Book		yes		3
I, Robot	Sci-fi			yes		4
In Bright Axiom	Fantasy	Mockumentary		yes		2
In the Mouth of Madness	Horror			yes		3
Inalienable				yes		2
Ingrid Goes West	Comedy			yes		2
Insidious	Horror			yes		4
Interview with the Vampire	Fantasy			yes		4
Jennifer's Body	Comedy			yes		4
John Dies at the End	Comedy			yes		5
Jonah Hex	Fantasy	Comic Book		yes		2
Kill Bill	Action			yes		4
Knowing	Thriller			yes		3
Krampus	Horror			yes		4
Leviathan				yes		4
Little Evil	Comedy			yes		4
Looper	Sci-fi	Comic Book		yes		4
Love and Monsters	Comedy			yes		3
Mars Attacks!	Comedy			yes		4
Men in Black	Comedy			yes		3
Men in Black II	Comedy			yes		2
Midsommar	Horror			yes		4
Moon				yes		2
Night of the Living Dead	Horror	Classic		yes		4
Nightmare Alley	Noir	Noir		yes		4
Odd Thomas	Comedy			yes		4
Palm Springs	Comedy			yes		4
Pan's Labyrinth	Fantasy			yes		4
ParaNorman	Comedy	Animated		yes		4
PG: Psycho Goreman	Comedy			yes		3
Pitch Black	Sci-fi			yes		4
Predator	Horror			yes		4
Predator 2	Horror			yes		3
Predators	Horror			yes		3
Priest	Fantasy	Comic Book		yes		3
Prom Night	Thriller			yes		3
Prometheus	Horror			yes		4
Quarantine	Horror			yes		2
Re-Animator	Horror			yes		4
Red Notice	Comedy	Heist		yes		3
Red Riding Hood	Fantasy			yes		3
Reign of Fire	Fantasy			yes		4
Resident Evil	Horror			yes		4
Resident Evil: Afterlife	Horror	Video Game		yes		3
Resident Evil: Apocalypse	Horror	Video Game		yes		4
Resident Evil: Extinction	Horror	Video Game		yes		3
Resident Evil: Retribution	Horror	Video Game		yes		3
Riddick	Sci-fi	Comic Book		yes		4
Rim of the World	Comedy			yes	Netflix	3
Scary Movie	Comedy			yes		3
Scooby Doo	Comedy			yes		5
Scooby Doo on Zombie Island	Comedy	Animated		yes		3
Seventh Son	Fantasy			yes		3
Shadow in the Cloud	Horror	Claustrophobic		yes		4
Sharknado	Horror			yes		1
Shaun of the Dead	Comedy			yes		5
Signs	Horror			yes		4
Silent Hill: Revelation	Horror			yes		3
Sin City	Noir	Comic Book		yes		3
Slither	Comedy	Parody		yes		4
Snowpiercer	Sci-fi	Comic Book		yes		4
Source Code	Thriller			yes		4
Spectral	Thriller			yes		4
Split	Thriller			yes		4
Spree	Comedy	Found Footage		yes		4
Suburban Gothic	Comedy			yes		2
Sucker Punch	Sci-fi			yes		4
Surrogates				yes		3
Sweeney Todd: The Demon Barber of Fleet Street	Horror	Musical		yes		4
Taken	Action			yes		3
Teeth	Horror			yes		4
The Addams Family	Comedy			yes		4
The Babysitter 	Horror	Meta		yes		5
The Babysitter: Killer Queen	Horror			yes	Netflix	3
The Ballad of Buster Scruggs	Western	Anthology		yes	Netflix	4
The Belko Experiment	Thriller			yes		4
The Birds	Horror			yes		3
The Blair Witch Project	Horror	Found Footage		yes		4
The Cabin in the Woods	Horror	Meta		yes		5
The Cell	Horror			yes		4
The Cloverfield Paradox	Horror			yes		4
The Conjuring	Horror			yes		3
The Conspiracy	Horror	Mockumentary		yes		4
The Core	Sci-fi	Disaster		yes		4
The Crazies	Thriller			yes		2
The Darkest Hour	Sci-fi	Disaster		yes		3
The Day After Tomorrow	Sci-fi	Disaster		yes		3
The Day the Earth Stood Still	Horror			yes		3
The Dooms Chapel Horror	Horror	Conceptual		yes		3
The Endless	Horror			yes		5
The Evil Dead				yes		2
The Forest				yes		3
The Fourth Kind				yes		4
The Grudge				yes		4
The Happening				yes		3
The Haunting in Connecticut				yes		3
The History of Time Travel		Mockumentary		yes		4
The Innkeepers				yes		3
The Kaos Brief		Found Footage		yes		4
The Last Exorcism		Found Footage		yes		3
The Lighthouse		Conceptual		yes		5
The Matrix				yes		3
The Midnight Meat Train				yes		3
The Mist				yes		2
The Mothman Prophecies				yes		4
The Mummy		Treasure Hunter		yes		4
The Mummy Returns		Treasure Hunter		yes		3
The Number 23				yes		4
The Phoenix Incident		Found Footage		yes		4
The Predator				yes		2
The Punisher	Comedy	Comic Book		yes		4
The Raven				yes		3
The Rift				yes		3
The Rift: Dark Side of the Moon				yes		3
The Ring				yes		4
The Ritual				yes		4
The Rocky Horror Picture Show				yes		3
The Shining				yes		5
The Shrine				yes		4
The Signal				yes		4
The Silence				yes		3
The Silence of the Lambs				yes		5
The Sixth Sense				yes		4
The Stepfather				yes		3
The Tall Man				yes		2
The Thing				yes		5
The Thing				yes		3
The Titan				yes		4
The Tomorrow War				yes	Amazon Prime Video	4
The Triangle		Found Footage		yes		5
The Village				yes		4
The Void				yes		4
The War of the Worlds				yes		4
The Witches				yes		3
The Woman in Black				yes		4
Timetrap				yes		4
Troll Hunter				yes		4
Tucker & Dale vs. Evil				yes		4
Underworld				yes		4
Underworld: Awakening				yes		3
Underworld: Blood Wars				yes		3
Underworld: Rise of the Lycans				yes		5
Upgrade!				yes		4
Uzumaki		Conceptual		yes		3
V for Vendetta		Comic Book		yes		5
Van Helsing				yes		4
Velvet Buzzsaw				yes	Netflix	3
Viktor Frankenstein				yes		4
Warm Bodies	Comedy			yes		4
Wild Wild West	Comedy	Western		yes		5
Young Frankenstein	Comedy			yes		4
Zombieland	Comedy			yes		5
Zombieland: Double Tap	Comedy			yes		3
2010: The Year We Make Contact		Conceptual		no		
28 Days Later				no		
28 Weeks Later				no		
A Classic Horror Story				no	Netflix	
A Clockwork Orange				no		
Alchemist's Cookbook				no		
All My Friends are Dead	Comedy			no	Netflix	
An American Werewolf in London				no		
Aniara				no		
Apostle				no	Netflix	
Army of Darkness				no		
Army of Thieves				no	Netflix	
Astral				no		
Babbadook				no		
Beyond the Black Rainbow				no		
Blood Red Sky				no	Netflix	
Bottom of the World				no		
Candyman				no		
Carrie				no		
Carrie II: The Rage				no		
Circle				no		
Clinical				no	Netflix	
Contagion				no		
Cosmos				no		
Countdown				no		
Creep				no		
Dark Encounter				no		
Dark Skies				no		
Day of the Dead				no		
Deep Impact				no		
Demon Eye				no		
Distorted				no		
Doctor Sleep				no		
Emelie				no		
Errementari: The Blacksmith and the Devil				no	Netflix	
Every Time I Die				no		
Extremely Evil Shockingly Wicked and Vile				no	Netflix	
Final Girl	Comedy	Meta		no		
First Man Into Space				no		
Flowers in the Attic				no		
Freaky	Comedy			no		
Friday the 13th				no		
From Hell				no		
Gravity				no		
Halloween				no		
He Never Died				no		
Hellbenders	Comedy			no		
Hellraiser				no		
Hush				no		
I Know What You Did Last Summer				no		
In the Earth				no		
In the Shadow of the Moon				no	Netflix	
In the Tall Grass				no	Netflix	
Intersect				no		
It				no		
It Follows				no		
Kimi				no		
Knock Knock				no		
Lavender				no		
Let Me In				no		
Let the Right One In				no		
Level 16				no		
Little Monsters	Comedy			no		
Malevolent				no	Netflix	
Malignant				no		
Mimic				no		
Mind Gamers				no		
My Bloody Valentine				no		
Nightbooks				no	Netflix	
Nightbreed				no		
Nobody				no		
Nocturne				no	Amazon Prime Video	
Nosferatu				no		
Oblivion				no		
Open Windows				no		
Oxygen		Claustrophobic		no	Netflix	
Paranormal Activity				no		
Parasite				no		
Pet Semetary				no		
Phantasm				no		
Population 436				no		
Proxima				no		
Psycho				no		
Pulse				no		
Rubber	Comedy			no		
Scanners				no		
Scary Stories to Tell in the Dark				no		
Sinister				no		
Sleepaway Camp				no		
Snakes On a Plane				no		
Sputnik				no		
Stonehearst Asylum				no		
Stowaway				no	Netflix	
Super 8				no		
Suspiria				no	Amazon Prime Video	
Synchronic				no		
Tentacles				no	Hulu	
The Abyss				no		
The Amityville Horror				no		
The Bell Witch Haunting		Found Footage		no		
The Block Island Sound				no		
The Book of Eli				no		
The Butterfly Effect				no		
The Changeover				no		
The Collector				no		
The Color Out of Space		Conceptual		no		
The Dark				no		
The Darkness				no		
The Dead Don't Die	Comedy			no		
The Descent				no		
The Devil All the Time				no		
The Disappointments Room				no		
The Dustwalker				no		
The Empty Man				no		
The Evil Dead 2				no		
The Exorcist				no		
The Farm				no		
The Fly				no		
The Fog				no		
The Guilty				no	Netflix	
The Highwaymen	Comedy			no	Netflix	
The Hunt				no		
The Killing of a Sacred Deer				no		
The Last Duel				no		
The Lazarus Effect				no		
The Mandela Effect				no		
The Monster				no		
The Most Assassinated Woman in the World				no	Netflix	
The Most Dangerous Game		Classic		no		
The Night Eats the World				no		
The Night Watchmen	Comedy			no		
The Ninth Gate				no		
The Nun				no		
The Old Ways				no		
The Omen				no		
The Perfect Storm				no		
The Perfection				no	Netflix	
The Perfection				no	Netflix	
The Poltergeist				no		
The Privilege				no	Netflix	
The Professor and the Madman				no		
The Rake				no		
The Rite				no		
The Spirit				no		
The Texas Chainsaw Massacre				no		
The Uninvited				no		
The Vanished				no		
The Witch				no		
The Woman in Black 2: Angel of Death				no		
Them				no	Amazon Prime Video	
Thir13en Ghosts				no		
Tragedy Girls				no		
Train to Busan				no		
Underwater				no		
Vivarium				no		
Watchmen				no		
We Have Always Lived in the Castle				no		
What Lies Below				no		
When a Stranger Calls				no		
Willy's Wonderland				no		
Yes, God, Yes	Comedy			no		
Polar	Thriller	Comic Book		yes		3
Mad God	Horror	Stop Motion		yes	Shudder	4
Bone Tomahawk	Horror	Western		yes		3
